stock_name,industry,cap,market_cap,pe_ratio,pb_ratio,div_yield,book_value,eps,roe
REC Limited,Financial Services,Large Cap,124709.49,9.5,1.91,2.66,247.9523352,49.87,20.1125
Tech Mahindra,IT Services,Large Cap,127220.52,45.2,4.81,3.83,271.0434416,28.83,13.6332
HDFC Life Insurance Company,Insurance,Large Cap,127394.33,83.54,8.99,0.32,65.9003596,7.09,10.7499
GAIL (India),Gas Utilities,Large Cap,119962.69,14.87,1.65,2.74,110.8102897,12.27,7.2522
Britannia Industries,Food Products,Large Cap,118366.29,54.8,41.56,1.47,118.2383434,89.68,78.3613
Adani Energy Solutions,Electric Utilities,Large Cap,118203.18,101.4,9.94,0.0,106.6572902,10.45,11.0536
Interglobe Aviation,Airlines,Large Cap,117558.86,16.33,0.0,0.0,-75.8613703,186.46,-191.9687
Godrej Consumer Products,Personal Products,Large Cap,126776.02,71.03,8.74,0.0,141.7720528,17.45,12.0696
Bank of Baroda,Banks,Large Cap,142496.88,7.54,1.25,2.0,220.1949283,36.53,16.589068112847116
Hindalco Industries,Metals & Mining,Large Cap,115844.01,12.34,1.16,0.57,442.7598348,41.79,8.4658
Cipla,Pharmaceuticals,Large Cap,116275.92,31.36,4.68,0.59,307.4888033,45.93,13.91
Tata Power Company,Electric Utilities,Large Cap,120192.7,33.58,3.99,0.53,94.3132444,11.2,11.8487
Ambuja Cements,Building Materials,Large Cap,116209.89,36.69,3.53,0.43,165.7236578,15.95,8.4418
Adani Total Gas,Gas Utilities,Large Cap,110701.38,185.37,34.21,0.02,29.420816,5.43,17.6467
Union Bank of India,Banks,Large Cap,107406.37,8.09,1.22,1.91,118.4960665,17.92,15.120032731509205
Tata Consumer Products,Food Products,Large Cap,109304.45,90.9,6.77,0.72,169.3350538,12.62,7.8937
Eicher Motors,Auto Manufacturers,Large Cap,107608.83,28.05,6.75,0.94,581.8974872,140.12,22.4783
